,user_id,views,level,kills,br_rank,br_mmr,ar_rank,ar_mmr,legend
0,KeonTwitch,43568 views,2884.0,44680.0,Apex Predator,63884.0,Bronze 4,0AP,Octane
1,xEffecto,10551 views,940.0,13696.0,Apex Predator,62922.0,Bronze 4,0AP,Pathfinder
2,ZlEMZY_,28985 views,3535.0,0.0,Apex Predator,50131.0,Bronze 4,0AP,Wraith
3,HisWattsonTwitch,15202 views,3442.0,164.0,Apex Predator,47511.0,Bronze 4,0AP,Wattson
4,LiLEnEmYvXD,4480 views,1159.0,11376.0,Apex Predator,47217.0,Bronze 4,0AP,Bloodhound
5,Crewsn_Twitch,2024 views,3023.0,43536.0,Apex Predator,44943.0,Bronze 4,0AP,Pathfinder
6,Rambrro-Twitch,8106 views,3794.0,52822.0,Apex Predator,42905.0,Bronze 4,0AP,Wraith
7,E6_TrixX,2931 views,1993.0,54782.0,Apex Predator,40714.0,Bronze 4,0AP,Lifeline
8,Moko_is_No1,3473 views,3683.0,45178.0,Apex Predator,40121.0,Bronze 4,0AP,Wraith
9,Revel-symphony-1,1348 views,509.0,8126.0,Apex Predator,37814.0,Bronze 4,0AP,Pathfinder
10,ProdigyAces,8837 views,3753.0,75285.0,Apex Predator,36678.0,Bronze 4,0AP,Wraith
11,Stankiniii,1274 views,2897.0,14.0,Apex Predator,35409.0,Bronze 4,0AP,Wraith
12,COL_Reptar,4485 views,2437.0,46821.0,Apex Predator,35170.0,Bronze 4,0AP,Lifeline
13,VOL_zZ_youtube_,1643 views,1378.0,9930.0,Apex Predator,34450.0,Bronze 4,0AP,Bloodhound
14,its2ez4cz,4710 views,3686.0,58827.0,Apex Predator,34360.0,Platinum 2,5600AP,Wraith
15,rHiro_,3953 views,2260.0,226.0,Apex Predator,33881.0,Bronze 4,0AP,Pathfinder
16,tttcheekyttt_SBI,47950 views,3343.0,44233.0,Apex Predator,33880.0,Bronze 4,0AP,Pathfinder
17,ASKYYYYYYY,4709 views,3973.0,58141.0,Apex Predator,33644.0,Bronze 4,0AP,Lifeline
18,Lumi_NetDoma,1500 views,2277.0,23995.0,Apex Predator,33570.0,Bronze 4,0AP,Wraith
19,DNA_Cody,7112 views,4262.0,60567.0,Apex Predator,33440.0,Bronze 4,0AP,Octane
20,Kotigami,2612 views,4342.0,76988.0,Apex Predator,33139.0,Bronze 4,0AP,Pathfinder
21,gutshot115,19787 views,4064.0,15.0,Apex Predator,32775.0,Bronze 4,0AP,Wraith
22,ItsDieseI-,3931 views,3246.0,65277.0,Apex Predator,32107.0,Bronze 4,0AP,Wraith
23,DeFy_Spitz,1126 views,2082.0,15469.0,Apex Predator,31575.0,Bronze 4,0AP,Wraith
24,Agerschou,4148 views,3943.0,57443.0,Apex Predator,31544.0,Bronze 4,0AP,Wraith
25,nvmessiahttv,18472 views,2649.0,11674.0,Apex Predator,30997.0,Bronze 4,0AP,Horizon
26,Kiy0WwwOnTwitch,1014 views,1501.0,16874.0,Apex Predator,29843.0,Master,8451AP,Wraith
27,igrindapexagain,21040 views,1809.0,44148.0,Apex Predator,29571.0,Bronze 4,0AP,Ash
28,StaxkzFPS,1383 views,1376.0,17938.0,Apex Predator,29016.0,Bronze 4,0AP,Wraith
29,pyradice8,380 views,1790.0,38977.0,Apex Predator,28781.0,Bronze 4,0AP,Wraith
30,Awesomee_Tryhard,24013 views,1916.0,444.0,Apex Predator,28413.0,Bronze 4,0AP,Gibraltar
31,Ttv_Djkilla05,3201 views,3110.0,15833.0,Apex Predator,28033.0,Bronze 4,212AP,Mirage
32,BleaaOnTwitch,5887 views,1712.0,67.0,Apex Predator,27738.0,Bronze 4,109AP,Gibraltar
33,Twitch_Fguuz,944 views,1997.0,17935.0,Apex Predator,27406.0,Bronze 4,0AP,Pathfinder
34,Bili_9397070QM,678 views,1066.0,12932.0,Apex Predator,27318.0,Bronze 4,0AP,Wraith
35,zRinngu,238 views,1930.0,25405.0,Apex Predator,27154.0,Bronze 4,0AP,Wraith
36,Moiraveer,16450 views,3871.0,3136.0,Apex Predator,27105.0,Bronze 4,0AP,Wraith
37,GAISEN_ARUFA,5332 views,2386.0,5097.0,Apex Predator,26788.0,Bronze 4,1AP,Horizon
38,KNG_Graceful,1551 views,2397.0,50155.0,Apex Predator,26622.0,Bronze 4,0AP,Wraith
39,Jacqb-,1295 views,2536.0,48617.0,Apex Predator,26517.0,Bronze 4,0AP,Loba
40,twiizowl,601 views,1412.0,23830.0,Apex Predator,26421.0,Bronze 4,0AP,Wraith
41,takeuchiseiya,17073 views,2926.0,32530.0,Apex Predator,26501.0,Platinum 2,5900AP,Pathfinder
42,LnK_FePoP,5838 views,2825.0,51859.0,Apex Predator,26252.0,Bronze 4,0AP,Wraith
43,RemixPowerz,1928 views,2702.0,27667.0,Apex Predator,26197.0,Bronze 4,1AP,Bloodhound
44,Jcvd_henchman,1652 views,2181.0,713.0,Apex Predator,26062.0,Bronze 4,1AP,Wraith
45,CLT_Greek,5571 views,4083.0,64445.0,Apex Predator,25700.0,Bronze 4,0AP,Wraith
46,TrzAxel,1724 views,1584.0,19731.0,Apex Predator,25651.0,Platinum 2,5686AP,Wraith
47,MrT34J,60 views,572.0,4476.0,Apex Predator,25538.0,Platinum 1,6019AP,Octane
48,jotaroolf,1220 views,2973.0,48367.0,Apex Predator,25443.0,Bronze 4,1AP,Wraith
49,JamessFearless,2128 views,3754.0,63189.0,Apex Predator,25331.0,Gold 4,3516AP,Wraith
50,CirclinEdge,204 views,1312.0,8923.0,Apex Predator,25272.0,Bronze 4,0AP,Wraith
51,Speed_DONOTPUSH,53 views,318.0,109.0,Apex Predator,25175.0,Silver 4,1834AP,Wraith
52,QuicheFPS,946 views,1241.0,9770.0,Apex Predator,25172.0,Platinum 1,6068AP,Octane
53,pnb_lucas,9577 views,3293.0,157.0,Apex Predator,25150.0,Master,8515AP,Wraith
54,Deathtenys,909 views,2952.0,34820.0,Apex Predator,25329.0,Bronze 3,602AP,Wraith
55,bembo166,540 views,551.0,1973.0,Apex Predator,25067.0,Diamond 3,6988AP,Gibraltar
56,vreyzh-,4439 views,1752.0,575.0,Apex Predator,25055.0,Bronze 4,0AP,Wraith
57,zvoidXYZ,384 views,236.0,51.0,Apex Predator,25038.0,Bronze 4,0AP,Wraith
58,MezzyTheGod,1507 views,2172.0,16481.0,Apex Predator,25017.0,Bronze 4,0AP,Valkyrie
59,SSG_Dropped,55086 views,3944.0,64953.0,Apex Predator,24992.0,Bronze 4,0AP,Pathfinder
60,llOriolesll,48401 views,3436.0,20.0,Apex Predator,24941.0,Bronze 4,109AP,Wraith
61,zodxyy,1663 views,2013.0,27154.0,Apex Predator,24627.0,Silver 3,2388AP,Wraith
62,YouTube_Candy-Da,2020 views,2527.0,24580.0,Apex Predator,24445.0,Bronze 4,0AP,Wraith
